# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:1, NX:1026, NY:1026, wn1 
MPI, 1, 1024, 1024, 1000,  2.558156
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:2, NX:1026, NY:514, wn1 
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:1, MPI_SIZE:2, NX:1026, NY:514, wn1 
MPI, 2, 1024, 1024, 1000,  2.682909
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:2, MPI_SIZE:4, NX:1026, NY:258, wn1 
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:3, MPI_SIZE:4, NX:1026, NY:258, wn1 
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:4, NX:1026, NY:258, wn1 
# WNX:1024, WNY:1024, MAX_ITER:1000, MPI_RANK:1, MPI_SIZE:4, NX:1026, NY:258, wn1 
MPI, 4, 1024, 1024, 1000,  1.414789
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:1, NX:2050, NY:2050, wn1 
MPI, 1, 2048, 2048, 1000,  7.570041
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:1, MPI_SIZE:2, NX:2050, NY:1026, wn1 
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:2, NX:2050, NY:1026, wn1 
MPI, 2, 2048, 2048, 1000,  4.101071
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:1, MPI_SIZE:4, NX:2050, NY:514, wn1 
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:2, MPI_SIZE:4, NX:2050, NY:514, wn1 
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:3, MPI_SIZE:4, NX:2050, NY:514, wn1 
# WNX:2048, WNY:2048, MAX_ITER:1000, MPI_RANK:0, MPI_SIZE:4, NX:2050, NY:514, wn1 
MPI, 4, 2048, 2048, 1000,  3.453220
