 1000000000,  1.77636e-13,  1.24163,  1,  hpc11 
 1000000000,  1.77636e-13,  1.22976,  2,  hpc11 
 1000000000,  1.77636e-13,  1.25327,  4,  hpc11 
 1000000000,  1.77636e-13,  1.30394,  8,  hpc11 
 1000000000,  1.77636e-13,  1.22011,  16,  hpc11 
 1000000000,  1.77636e-13,  1.32385,  32,  hpc11 
 2000000000,  4.57412e-14,  2.56056,  1,  hpc11 
 2000000000,  4.57412e-14,  2.55192,  2,  hpc11 
 2000000000,  4.57412e-14,  2.57639,  4,  hpc11 
 2000000000,  4.57412e-14,  2.89112,  8,  hpc11 
 2000000000,  4.57412e-14,  2.86634,  16,  hpc11 
 2000000000,  4.57412e-14,  2.57836,  32,  hpc11 
 4000000000,  3.55271e-13,  5.19255,  1,  hpc11 
 4000000000,  3.55271e-13,  5.08486,  2,  hpc11 
 4000000000,  3.55271e-13,  5.12473,  4,  hpc11 
 4000000000,  3.55271e-13,  5.15635,  8,  hpc11 
 4000000000,  3.55271e-13,  5.16680,  16,  hpc11 
 4000000000,  3.55271e-13,  5.19446,  32,  hpc11 
